[2013-04-10 16:40:45]INFO  server.handle.Dispatcher(line:96) -send:1_木木::::我不知道你想让我说什么呢。
[2013-04-10 16:40:45]INFO  server.handle.Dispatcher(line:58) -使用时间为：562
[2013-04-10 16:40:50]INFO  server.handle.Dispatcher(line:55) -/127.0.0.1:57952receive:1_你好::::0::::0::::0
[2013-04-10 16:40:50]INFO  server.aboutBot.Bot(line:282) -1 true
[2013-04-10 16:40:50]INFO  server.aboutBot.Bot(line:410) -select * from b_teacherquestion where t_question2 regexp '(-=你好=-){1}'
[2013-04-10 16:40:50]INFO  server.aboutBot.Answers(line:20) -插入Unknow回答我不知道你想让我说什么呢。
[2013-04-10 16:40:50]INFO  server.aboutBot.Bot(line:234) -aboutUnknow
[2013-04-10 16:40:50]INFO  server.aboutBot.Answers(line:28) -答案集：1 [none]
[2013-04-10 16:40:50]INFO  server.handle.Dispatcher(line:96) -send:1_木木::::none
[2013-04-10 16:40:50]INFO  server.handle.Dispatcher(line:58) -使用时间为：12
[2013-04-10 16:42:55]INFO  server.handle.Dispatcher(line:55) -/127.0.0.1:57966receive:1_你好::::1::::1::::1
[2013-04-10 16:42:56]INFO  server.aboutBot.Bot(line:282) -0 false
[2013-04-10 16:42:56]INFO  server.aboutBot.Bot(line:410) -select * from b_teacherquestion where t_question2 regexp '(-=你好=-){1}'
[2013-04-10 16:42:56]INFO  server.conn.Conn(line:88) -127.0.0.1数据库连接成功!
[2013-04-10 16:42:56]INFO  server.aboutBot.Answers(line:22) -插入Unknow回答我不知道你想让我说什么呢。
[2013-04-10 16:42:56]INFO  server.aboutBot.Bot(line:234) -aboutUnknow
[2013-04-10 16:42:56]INFO  server.aboutBot.Answers(line:27) -没有可回答答案，插入Unknow回答!
[2013-04-10 16:42:56]INFO  server.aboutBot.Answers(line:30) -答案集：1 [我不知道你想让我说什么呢。]
[2013-04-10 16:42:56]INFO  server.handle.Dispatcher(line:96) -send:1_木木::::我不知道你想让我说什么呢。
[2013-04-10 16:42:56]INFO  server.handle.Dispatcher(line:58) -使用时间为：575
[2013-04-10 16:43:00]INFO  server.handle.Dispatcher(line:55) -/127.0.0.1:57966receive:1_你好::::0::::-1::::0
[2013-04-10 16:43:00]INFO  server.aboutBot.Bot(line:282) -1 true
[2013-04-10 16:43:00]INFO  server.aboutBot.Answers(line:15) -插入可回答答案none
[2013-04-10 16:43:00]INFO  server.aboutBot.Bot(line:410) -select * from b_teacherquestion where t_question2 regexp '(-=你好=-){1}'
[2013-04-10 16:43:00]INFO  server.aboutBot.Answers(line:22) -插入Unknow回答我不知道你想让我说什么呢。
[2013-04-10 16:43:00]INFO  server.aboutBot.Bot(line:234) -aboutUnknow
[2013-04-10 16:43:00]INFO  server.aboutBot.Answers(line:30) -答案集：1 [none]
[2013-04-10 16:43:00]INFO  server.handle.Dispatcher(line:96) -send:1_木木::::none
[2013-04-10 16:43:00]INFO  server.handle.Dispatcher(line:58) -使用时间为：11
[2013-04-10 16:45:11]INFO  server.handle.Dispatcher(line:55) -/127.0.0.1:57981receive:1_你好::::1::::1::::1
[2013-04-10 16:45:11]INFO  server.aboutBot.Bot(line:212) -start aboutMemory
[2013-04-10 16:45:11]INFO  server.aboutBot.Bot(line:286) -0 false
[2013-04-10 16:45:11]INFO  server.aboutBot.Bot(line:221) -start aboutMyself
[2013-04-10 16:45:11]INFO  server.aboutBot.Bot(line:230) -start aboutQuestion
[2013-04-10 16:45:11]INFO  server.aboutBot.Bot(line:414) -select * from b_teacherquestion where t_question2 regexp '(-=你好=-){1}'
[2013-04-10 16:45:11]INFO  server.conn.Conn(line:88) -127.0.0.1数据库连接成功!
[2013-04-10 16:45:11]INFO  server.aboutBot.Bot(line:236) -start aboutUnknow
[2013-04-10 16:45:11]INFO  server.aboutBot.Answers(line:22) -插入Unknow回答我不知道你想让我说什么呢。
[2013-04-10 16:45:11]INFO  server.aboutBot.Bot(line:238) -aboutUnknow access
